num_aset,period,Asset list,asset bobot,sharpe ratio,cvar
3,1_week,"['BNB', 'DOT', 'LTC']","[0.29, 0.7, 0.01]",-0.012403497095413298,0.24314939723420462
3,1_week,"['BNB', 'DOT', 'MATIC']","[0.29, 0.7, 0.01]",-0.012429105613196285,0.2436964667253508
3,1_week,"['BNB', 'DOT', 'SOL']","[0.29, 0.7, 0.01]",-0.012594154577781062,0.24341855672386786
3,1_week,"['BNB', 'DOT', 'XRP']","[0.7, 0.01, 0.29]",-0.013314950334153546,0.24114564320464932
3,1_week,"['BNB', 'ETH', 'LTC']","[0.29, 0.7, 0.01]",-0.008111924584740275,0.22214570687137086
3,1_week,"['BNB', 'ETH', 'MATIC']","[0.29, 0.7, 0.01]",-0.008155168356072289,0.22268291591270123
3,1_week,"['BNB', 'ETH', 'SOL']","[0.29, 0.7, 0.01]",-0.008312982934069188,0.22301319533095898
3,1_week,"['BNB', 'ETH', 'XRP']","[0.7, 0.01, 0.29]",-0.013276049328629486,0.2410028281882598
3,1_week,"['BNB', 'LTC', 'MATIC']","[0.29, 0.7, 0.01]",-0.01453616667818789,0.2367157473156288
3,1_week,"['BNB', 'LTC', 'SOL']","[0.7, 0.29, 0.01]",0.006242161970025099,0.2010313394558235
3,1_week,"['BNB', 'LTC', 'XRP']","[0.7, 0.01, 0.29]",-0.013346332837231176,0.24094779495862353
3,1_week,"['BNB', 'MATIC', 'SOL']","[0.29, 0.7, 0.01]",-0.016855945024532592,0.25567690611714383
3,1_week,"['BNB', 'MATIC', 'XRP']","[0.7, 0.01, 0.29]",-0.013373708008267466,0.2414585679935163
3,1_week,"['BNB', 'SOL', 'XRP']","[0.7, 0.01, 0.29]",-0.013507267528465983,0.2414859656119571
3,1_week,"['BTC', 'DOGE', 'DOT']","[0.7, 0.29, 0.01]",0.0039649068265505336,0.27430659528616397
3,1_week,"['BTC', 'DOGE', 'ETH']","[0.7, 0.29, 0.01]",0.004025802880883513,0.2741569368624169
3,1_week,"['BTC', 'DOGE', 'LTC']","[0.7, 0.29, 0.01]",0.003946551930145669,0.27409828603162284
3,1_week,"['BTC', 'DOGE', 'MATIC']","[0.7, 0.29, 0.01]",0.0038933127460749496,0.27432326847711225
3,1_week,"['BTC', 'DOGE', 'SOL']","[0.7, 0.29, 0.01]",0.003749891883503298,0.2749774820447939
3,1_week,"['BTC', 'DOGE', 'XRP']","[0.01, 0.7, 0.29]",-0.0005374613019624486,0.41939018737245354
3,1_week,"['BTC', 'DOT', 'ETH']","[0.1396, 0.1604, 0.7]",-0.02184802650491553,0.23837342597060765
3,1_week,"['BTC', 'DOT', 'LTC']","[0.3408, 0.3311, 0.3281]",-0.02636854197485506,0.23066920983628592
3,1_week,"['BTC', 'DOT', 'MATIC']","[0.3405, 0.3327, 0.3268]",-0.02700650287878278,0.24062560101826075
3,1_week,"['BTC', 'DOT', 'SOL']","[0.5145, 0.01, 0.4755]",-0.028007053299641187,0.2642126193796165
3,1_week,"['BTC', 'DOT', 'XRP']","[0.7, 0.01, 0.29]",-0.04122057879630361,0.25779327192764406
3,1_week,"['BTC', 'ETH', 'LTC']","[0.7, 0.01, 0.29]",-0.020611142495222688,0.21717432163916636
3,1_week,"['BTC', 'ETH', 'MATIC']","[0.7, 0.01, 0.29]",-0.02194350408917444,0.22182420286948887
3,1_week,"['BTC', 'ETH', 'SOL']","[0.7, 0.01, 0.29]",-0.02376179618157342,0.24280875714674408
3,1_week,"['BTC', 'ETH', 'XRP']","[0.7, 0.1413, 0.1587]",-0.03193854945619483,0.2324350276597229
3,1_week,"['BTC', 'LTC', 'MATIC']","[0.3421, 0.3304, 0.3275]",-0.02879746531267508,0.23273300908632394
